country_code,year,gdp_per_capita,inflation,unemployment,gdp_lag_1,inflation_lag_1,unemployment_lag_1,gdp_lag_2,inflation_lag_2,unemployment_lag_2,gdp_lag_3,inflation_lag_3,unemployment_lag_3,gdp_rolling3,inflation_rolling3,unemployment_rolling3,gdp_growth,recession
GBR,2016,41257.9085545556,1.0084173681141,4.909,45255.3449216209,0.36804684232536,5.552,47746.2421759562,1.45112016293279,6.398,43606.9837896348,2.29166666666659,7.752,44753.165217377566,0.9425281244574166,5.619666666666667,-8.833070157764967,1
GBR,2017,40916.8115070354,2.55775577557747,4.501,41257.9085545556,1.0084173681141,4.909,45255.3449216209,0.36804684232536,5.552,47746.2421759562,1.45112016293279,6.398,42476.6883277373,1.3114066620056433,4.987333333333333,-0.8267434280367469,1
GBR,2018,43702.9976303165,2.29283990345938,4.145,40916.8115070354,2.55775577557747,4.501,41257.9085545556,1.0084173681141,4.909,45255.3449216209,0.36804684232536,5.552,41959.23923063584,1.9530043490503166,4.5183333333333335,6.809392082767807,0
GBR,2019,43158.7411267323,1.73810460086513,3.657,43702.9976303165,2.29283990345938,4.145,40916.8115070354,2.55775577557747,4.501,41257.9085545556,1.0084173681141,4.909,42592.85008802806,2.1962334266339933,4.101,-1.24535279750847,1
GBR,2020,40812.6794663879,0.989486703772491,4.472,43158.7411267323,1.73810460086513,3.657,43702.9976303165,2.29283990345938,4.145,40916.8115070354,2.55775577557747,4.501,42558.13940781223,1.673477069365667,4.091333333333334,-5.435889924257453,1
GBR,2021,47691.3768799404,2.51837109614213,4.864,40812.6794663879,0.989486703772491,4.472,43158.7411267323,1.73810460086513,3.657,43702.9976303165,2.29283990345938,4.145,43887.59915768687,1.7486541335932504,4.331,16.8543146480191,0
GBR,2022,47057.043229179,7.92204883147902,3.768,47691.3768799404,2.51837109614213,4.864,40812.6794663879,0.989486703772491,4.472,43158.7411267323,1.73810460086513,3.657,45187.03319183577,3.809968877131214,4.367999999999999,-1.3300803882393408,1
GBR,2023,49944.4702124201,6.79396706793963,4.025,47057.043229179,7.92204883147902,3.768,47691.3768799404,2.51837109614213,4.864,40812.6794663879,0.989486703772491,4.472,48230.96344051317,5.744795665186928,4.219,6.136014473282225,0
GBR,2024,53246.3676145108,3.2715729463592,4.361,49944.4702124201,6.79396706793963,4.025,47057.043229179,7.92204883147902,3.768,47691.3768799404,2.51837109614213,4.864,50082.6270187033,5.995862948592617,4.051333333333333,6.611137104963394,0
IDN,2010,3065.68348377765,5.13420639015885,5.614,,,,,,,,,,3065.68348377765,5.13420639015885,5.614,,0
IDN,2011,3579.46442466152,5.35604849112582,5.153,3065.68348377765,5.13420639015885,5.614,,,,,,,3322.573954219585,5.245127440642335,5.3835,16.759099352643215,0
IDN,2012,3632.27254030331,4.2795142691943,4.468,3579.46442466152,5.35604849112582,5.153,3065.68348377765,5.13420639015885,5.614,,,,3425.8068162474933,4.92325638349299,5.078333333333333,1.4753077381620905,0
IDN,2013,3566.60284506078,6.41249457900391,4.336,3632.27254030331,4.2795142691943,4.468,3579.46442466152,5.35604849112582,5.153,3065.68348377765,5.13420639015885,5.614,3592.7799366752038,5.349352446441344,4.652333333333333,-1.80795065661693,1
IDN,2014,3441.06808464008,6.39492882396559,4.049,3566.60284506078,6.41249457900391,4.336,3632.27254030331,4.2795142691943,4.468,3579.46442466152,5.35604849112582,5.153,3546.647823334723,5.695645890721266,4.2843333333333335,-3.519729161730112,1
IDN,2015,3288.22269725538,6.36312061196646,4.514,3441.06808464008,6.39492882396559,4.049,3566.60284506078,6.41249457900391,4.336,3632.27254030331,4.2795142691943,4.468,3431.9645423187467,6.3901813383119865,4.299666666666667,-4.441800732364387,1
IDN,2016,3521.46943457574,3.52580452815451,4.301,3288.22269725538,6.36312061196646,4.514,3441.06808464008,6.39492882396559,4.049,3566.60284506078,6.41249457900391,4.336,3416.9200721570664,5.427951321362187,4.288,7.093398434207221,0
IDN,2017,3798.88326174526,3.80879857691949,3.783,3521.46943457574,3.52580452815451,4.301,3288.22269725538,6.36312061196646,4.514,3441.06808464008,6.39492882396559,4.049,3536.1917978587935,4.565907905680153,4.199333333333334,7.877786030050893,0
IDN,2018,3860.95353090726,3.19834755924996,4.387,3798.88326174526,3.80879857691949,3.783,3521.46943457574,3.52580452815451,4.301,3288.22269725538,6.36312061196646,4.514,3727.1020757427536,3.510983554774653,4.157,1.6339083063448445,0
